Participants,CrampedRoom,AsymmetricRoom,RingRoom,ForceCoordination,CounterCircuit
1,200,260,140,160,140
2,220,280,140,160,140
3,200,300,160,180,140
4,220,320,160,180,160
5,180,320,180,160,140
6,260,300,160,160,160
7,260,280,140,200,180
8,280,260,160,220,160
9,300,300,180,220,140
10,260,320,180,140,180
11,240,260,160,160,160
12,220,360,140,140,120
13,200,380,120,160,160
14,200,300,180,180,140
15,240,360,200,120,160
16,220,300,100,180,100
17,240,320,140,140,140
18,240,340,120,160,120
19,240,300,160,140,160
20,200,320,140,160,140
